IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
132.145.121.34,2052,2052,FALSE,JP,Asia Pacific,Tokyo,75,9.21
132.145.115.17,80,80,FALSE,JP,Asia Pacific,Tokyo,73,9.21
131.186.41.255,2087,2087,TRUE,JP,Asia Pacific,Tokyo,106,9.21
140.238.32.238,8443,8443,TRUE,JP,Asia Pacific,Tokyo,101,9.21
140.238.36.216,8443,8443,TRUE,JP,Asia Pacific,Tokyo,77,9.21
158.101.155.115,2086,2086,FALSE,JP,Asia Pacific,Tokyo,70,9.2
151.145.68.166,2052,2052,FALSE,JP,Asia Pacific,Tokyo,102,9.2
143.47.176.132,443,443,TRUE,DE,Europe,DEnkfurt,170,9.2
168.138.200.155,2087,2087,TRUE,JP,Asia Pacific,Tokyo,123,9.2
140.238.33.165,8080,8080,FALSE,JP,Asia Pacific,Tokyo,72,9.2
131.186.37.69,2096,2096,TRUE,JP,Asia Pacific,Tokyo,104,9.2
168.138.208.164,2053,2053,TRUE,JP,Asia Pacific,Tokyo,136,9.2
131.186.63.127,2083,2083,TRUE,JP,Asia Pacific,Tokyo,132,9.19
151.145.74.56,2095,2095,FALSE,JP,Asia Pacific,Tokyo,74,9.19
168.138.208.164,8443,8443,TRUE,JP,Asia Pacific,Tokyo,106,9.19
138.3.220.4,8080,8080,FALSE,JP,Asia Pacific,Tokyo,78,9.19
138.3.223.70,2095,2095,FALSE,JP,Asia Pacific,Tokyo,88,9.18
131.186.46.75,8443,8443,TRUE,JP,Asia Pacific,Tokyo,72,9.18
132.145.113.148,8080,8080,FALSE,JP,Asia Pacific,Tokyo,83,9.18
140.238.60.177,8880,8880,FALSE,JP,Asia Pacific,Tokyo,76,9.18
138.3.212.144,8880,8880,FALSE,JP,Asia Pacific,Tokyo,84,9.17
168.138.208.164,2083,2083,TRUE,JP,Asia Pacific,Tokyo,230,9.17
168.138.194.121,2096,2096,TRUE,JP,Asia Pacific,Tokyo,107,9.17
132.145.112.247,80,80,FALSE,JP,Asia Pacific,Tokyo,72,9.17
131.186.38.135,2053,2053,TRUE,JP,Asia Pacific,Tokyo,109,9.17
168.138.208.17,2087,2087,TRUE,JP,Asia Pacific,Tokyo,114,9.17
158.101.137.74,2052,2052,FALSE,JP,Asia Pacific,Tokyo,71,9.16
151.145.69.174,8443,8443,TRUE,JP,Asia Pacific,Tokyo,104,9.16
143.47.239.87,443,443,TRUE,DE,Europe,DEnkfurt,207,9.16
140.238.50.99,2082,2082,FALSE,JP,Asia Pacific,Tokyo,77,9.16
168.138.202.145,8880,8880,FALSE,JP,Asia Pacific,Tokyo,86,9.15
168.138.200.155,2083,2083,TRUE,JP,Asia Pacific,Tokyo,160,9.15
140.238.40.136,2087,2087,TRUE,JP,Asia Pacific,Tokyo,131,9.14
84.235.164.113,443,443,TRUE,DE,Europe,DEnkfurt,182,9.14
158.101.140.154,2087,2087,TRUE,JP,Asia Pacific,Tokyo,128,9.14
140.238.62.12,2083,2083,TRUE,JP,Asia Pacific,Tokyo,114,9.13
140.238.32.238,2083,2083,TRUE,JP,Asia Pacific,Tokyo,71,9.13
140.238.54.149,2087,2087,TRUE,JP,Asia Pacific,Tokyo,114,9.13
158.101.155.158,2052,2052,FALSE,JP,Asia Pacific,Tokyo,80,9.12
144.21.51.29,443,443,TRUE,DE,Europe,DEnkfurt,193,9.12
138.3.214.43,2086,2086,FALSE,JP,Asia Pacific,Tokyo,82,9.12
158.101.95.113,2096,2096,TRUE,JP,Asia Pacific,Tokyo,102,9.12
158.180.33.210,443,443,TRUE,DE,Europe,DEnkfurt,172,9.11
152.67.149.169,443,443,TRUE,DE,Europe,DEnkfurt,182,9.11
131.186.41.82,8080,8080,FALSE,JP,Asia Pacific,Tokyo,87,9.1
152.70.52.215,443,443,TRUE,NL,Europe,NLterdam,176,9.1
158.101.140.154,8880,8880,FALSE,JP,Asia Pacific,Tokyo,75,9.09
144.24.85.158,443,443,TRUE,KR,Asia Pacific,Seoul,72,9.09
132.145.114.250,80,80,FALSE,JP,Asia Pacific,Tokyo,69,9.09
132.145.122.95,2082,2082,FALSE,JP,Asia Pacific,Tokyo,67,9.09
144.21.35.230,443,443,TRUE,DE,Europe,DEnkfurt,169,9.08
